"name","id"
Oncativo,141050
Pilar,141057
Pozo del Molle,141064
Río Segundo,141071
Santiago Temple,141078
Villa del Rosario,141085
Mina Clavero,141092
Nono,141099
San Pedro,141106
Villa Cura Brochero,141113
Villa Sarmiento (S. A.),141120
La Paz,141127
San Javier y Yacanto,141134
San José,141141
Villa de las Rosas,141148
Villa Dolores,141155
Alicia,141162
Altos de Chipión,141169
Arroyito,141176
Balnearia,141183
Brinkmann,141190
Colonia Marina,141197
Colonia Prosperidad,141204
Colonia San Bartolomé,141211
Colonia Vignaud,141218
Devoto,141225
El Arañado,141232
El Fortín,141239
El Tío,141246
Freyre,141253
La Francia,141260
La Paquita,141267
La Tordilla,141274
Las Varas,141281
Las Varillas,141288
Marull,141295
Miramar,141302
Morteros,141309
Porteña,141316
Quebracho Herrado,141323
Sacanta,141330
San Francisco,141337
Saturnino María Laspiur,141344
Seeber,141351
Tránsito,141358
Villa Concepción del Tío,141365
Alta Gracia,141372
Despeñaderos,141379
Lozada,141386
Malagueño,141393
Monte Ralo,141400
Toledo,141407
San Francisco del Chañar,141414
Almafuerte,141421
Colonia Almada,141428
Corralito,141435
Dalmacio Vélez,141442
Hernando,141449
James Craik,141456
Las Perdices,141463
Los Zorros,141470
Oliva,141477
Pampayasta Sud,141484
Río Tercero,141491
Tancacha,141498
Villa Ascasubi,141505
Cañada de Luque,141512
Las Peñas,141519
Sarmiento,141526
Sinsacate,141533
Villa del Totoral,141540
Las Arrias,141547
Lucio V. Mansilla,141554
San José de la Dormida,141561
San José de las Salinas,141568
San Pedro Norte,141575
Villa Tulumba,141582
Alto Alegre,141589
Ballesteros,141596
Ballesteros Sud,141603
Bell Ville,141610
Benjamín Gould,141617
Canals,141624
Chilibroste,141631
Cintra,141638
Colonia Bismarck,141645
Idiazabal,141652
Justiniano Posse,141659
Laborde,141666
Monte Leña,141673
Monte Maíz,141680
Morrison,141687
Noetinger,141694
Ordóñez,141701
Pascanas,141708
Pueblo Italiano,141715
San Antonio de Litín,141722
San Marcos Sud,141729
Viamonte,141736
Wenceslao Escalante,141743
Amboy,142007
Calmayo,142014
Cañada del Sauce,142021
Las Bajadas,142028
Las Caleras,142035
Los Molinos,142042
Los Reartes,142049
Lutti,142056
San Ignacio,142063
Segunda Usina,142070
Villa Amancay,142077
Villa Ciudad Parque los Reartes,142084
Villa Quillinzo,142091
Colonia Vicente Agüero,142098
El Manzano,142105
